 ;('u_m3ll', 'v_m3ll');u_m3ll;v_m3ll;('u_m1ll', 'v_m1ll');u_m1ll;v_m1ll;('u_m2ll', 'v_m2ll');u_m2ll;v_m2ll;p_m1ll;aird_m1ll;
mean;null;0.5097047313717213;-1.7090893221827974;null;-0.3288836153293249;-1.4163351549932115;null;-0.038430672340813925;-1.5482994671930084;101512.3071341373;1.2073333181211423;
min;null;-13.9;-22.07;null;-7.56;-20.95;null;-9.34;-21.7;99025.0;1.098;
max;null;12.34;21.8;null;7.49;19.59;null;9.58;20.77;103735.0;1.316;
median;null;0.4;-2.57;null;-0.2;-1.73;null;-0.07;-2.14;101457.0;1.208;
std;null;2.5656901726218435;6.509893209726687;null;0.9431884562278541;4.816249902359792;null;1.6002846864173736;5.653360363645981;644.0013525662376;0.03802919515742414;
covariance;1.4116234103270129;null;null;1.044340302059557;null;null;1.8916649243760537;null;null;null;null;
10th pctile;null;-2.63;-9.63;null;-1.57;-7.67;null;-2.0;-8.6;100743.0;1.156;
20th pctile;null;-1.67;-7.57;null;-0.97;-5.5;null;-1.34;-6.57;100975.0;1.171;
40th pctile;null;-0.21;-4.35;null;-0.39;-3.04;null;-0.43999999999999995;-3.72;101301.0;1.197;
60th pctile;null;1.02;-0.51;null;-0.03;0.10999999999999999;null;0.3;-0.10999999999999999;101617.0;1.219;
80th pctile;null;2.55;4.49;null;0.32;3.01;null;1.2;3.87;102041.0;1.241;
90th pctile;null;3.72;7.54;null;0.57;4.47;null;1.87;5.969999999999999;102390.0;1.257;
records;87649;87649;87649;87649;87649;87649;87649;87649;87649;87649;87649;
